stop_id,stop_name,similar_stop_id,similar_stop_name
58_3,網走バスターミナル,58_3,網走バスターミナル
58_6,網走バスターミナル,58_3,網走バスターミナル
59_1,モヨロ入口,59_1,モヨロ入口
59_2,モヨロ入口,59_1,モヨロ入口
60_1,厚生病院前,60_1,厚生病院前
60_2,厚生病院前,60_1,厚生病院前
61_1,オホーツク合同庁舎前,61_1,オホーツク合同庁舎前
61_2,オホーツク合同庁舎前,61_1,オホーツク合同庁舎前
68_1,西７丁目,68_1,西７丁目
68_2,西７丁目,68_1,西７丁目
71_2,網走駅前,71_2,網走駅前
71_3,網走駅前,71_2,網走駅前
72_1,西小学校前,72_1,西小学校前
72_2,西小学校前,72_1,西小学校前
73_1,ハローワーク前,73_1,ハローワーク前
73_2,ハローワーク前,73_1,ハローワーク前
74_1,刑務所前,74_1,刑務所前
74_2,刑務所前,74_1,刑務所前
119_1,市営住宅前,119_1,市営住宅前
119_2,市営住宅前,119_1,市営住宅前
120_1,天都山入口,120_1,天都山入口
120_2,天都山入口,120_1,天都山入口
121_1,網走観光ホテル前,121_1,網走観光ホテル前
121_2,網走観光ホテル前,121_1,網走観光ホテル前
122_1,網走湖荘前,122_1,網走湖荘前
122_2,網走湖荘前,122_1,網走湖荘前
123_1,養護学校入口,123_1,養護学校入口
123_2,養護学校入口,123_1,養護学校入口
124_1,呼人駅前,124_1,呼人駅前
124_2,呼人駅前,124_1,呼人駅前
125_1,上林宅前,125_1,上林宅前
125_2,上林宅前,125_1,上林宅前
126_1,鱒取川,126_1,鱒取川
126_2,鱒取川,126_1,鱒取川
180_1,女満別川,180_1,女満別川
180_2,女満別川,180_1,女満別川
181_1,湖南第2,181_1,湖南第2
181_2,湖南第2,181_1,湖南第2
182_1,湖南,182_1,湖南
182_2,湖南,182_1,湖南
183_1,湖南風防林,183_1,湖南風防林
183_2,湖南風防林,183_1,湖南風防林
184_1,昭和第2,184_1,昭和第2
184_2,昭和第2,184_1,昭和第2
185_1,女満別高校,185_1,女満別高校
185_2,女満別高校,185_1,女満別高校
186_1,昭和,186_1,昭和
186_2,昭和,186_1,昭和
187_1,女満別十字街,187_1,女満別十字街
187_2,女満別十字街,187_1,女満別十字街
188_1,大空町役場前,188_1,大空町役場前
188_2,大空町役場前,188_1,大空町役場前
189_1,町営温泉入口,189_1,町営温泉入口
189_2,町営温泉入口,189_1,町営温泉入口
190_1,女満別空港,190_1,女満別空港
190_2,女満別空港,190_1,女満別空港
